Id,release,dir,exists,mean_FD,max_FD,mean_relative_motion,max_relative_motion,num_movements,coverage_missing,snr
M10974363,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10974363_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0655648558333,0.448159,0.0815997397161,0.182224147686,0,741.0,-3572.22220867
M10939480,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10939480_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.04261643025,0.156065,0.0369246799384,0.0771308628242,0,872.0,3616.55308303
M10988199,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10988199_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0928551491667,0.832793,0.13365933181,0.273384198519,0,1168.0,-4320.3299491
M10958744,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10958744_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.1080536775,0.690578,0.118585549113,0.448888371424,0,668.0,-28598.3875784
M10956678,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10956678_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.129614515,0.551179,0.165506926361,0.503250086935,0,161.0,14949.1262679
M10917168,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10917168_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.216512718333,2.39742,0.290627102626,1.10406505696,11,765.0,-527372.839374
M10922512,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10922512_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.10250608,0.572683,0.0786523220436,0.328186425679,0,542.0,2188.01384377
M10985781,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10985781_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.14795578,0.863482,0.308364607916,0.645127065003,0,583.0,-76.3585568435
M10973085,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10973085_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0593404683333,0.38076,0.0502703242575,0.197917078596,0,728.0,17692.7992567
M10958411,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10958411_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0800288908333,0.528905,0.0807263990638,0.250012499688,0,1680.0,3275.02143083
M10968357,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10968357_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.11703813,1.04223,0.134942854018,0.395837403488,0,275.0,-685.481953922
M10912249,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10912249_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0888834158333,0.519225,0.198547576379,0.412622272787,0,335.0,5270.62009286
M10923971,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10923971_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.1194894975,1.16715,0.27409140158,0.872066419489,0,87.0,-4762.64014079
M10919866,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10919866_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.0974119908333,0.537115,0.11841630279,0.358822128638,0,124.0,31236.6072314
M10915454,1,pipeline_OakhurstCity/_compcor_ncomponents_5_linear1.motion1.compcor1.CSF_0.98_GM_0.7_WM_0.98/M10915454_session_1/scan_RfMRI_std_2500_rest_RPI,True,0.10347609,0.75929,0.11700351895,0.399843194265,0,1020.0,36226.9443502
